Time,CPU 1,CPU 2,CPU 3,CPU 4,CPU 5,CPU 6,CPU 7,CPU 8,Overall CPU Utilization,RAM Usage,GPU Utilization,GPU Memory Utilization
27,3.673559812,2.11990755,12.99547338,0,14.54912564,0,2.11990755,2.11990755,4.697235185,20.62988058,0,0
28,2.107642958,0.553796021,2.107642958,2.107642958,12.98457152,0,5.215336832,6.769183769,3.980727127,20.41231464,0,0
29,0.309065948,8.221044841,0.309065948,14.55062796,14.55062796,1.891461727,1.891461727,12.96823218,6.836448536,20.47509871,0,0
30,9.454191364,4.770787469,17.25986452,3.209652838,14.13759526,9.454191364,14.13759526,4.770787469,9.649333193,20.61280021,0,0
31,0,0,0,0,0,0,0,0.648927145,0.081115893,20.60522704,0,0
32,0.733421191,2.284461485,0.733421191,2.284461485,0.733421191,2.284461485,0.733421191,0.733421191,1.315061301,20.59026391,0,0
33,0.623561597,0.623561597,0,0.623561597,0.623561597,0,0.623561597,0.623561597,0.467671198,20.59026391,0,0
34,1.197115509,1.197115509,1.197115509,0,1.197115509,2.740910579,1.197115509,0,1.090811016,20.59014176,0,0
35,0,0.60608422,0,0,0,0,0,3.712144088,0.539778539,20.59014176,0,0
36,2.139060824,0,0.560658579,3.717463069,2.139060824,6.874267558,2.139060824,0,2.19619646,20.57192135,0,0
37,1.506594527,0,1.506594527,0,0,0,0,0,0.376648632,20.4665687,0,0
38,0.034334874,0,0.034334874,0.034334874,0.034334874,1.621091463,0.034334874,1.621091463,0.426732162,20.4665687,0,0
39,27.43273734,47.94087679,14.81234384,0.614401141,0,11.65724546,2.191950329,0,13.08119436,20.4665687,0,0
40,0.929673505,0,0.929673505,0,2.453832374,0,0,0,0.539147423,20.46591725,0,0
41,3.195805444,0.021897426,1.608851435,0,4.782759454,1.608851435,1.608851435,3.195805444,2.002852759,20.55758932,0,0
42,3.590733883,2.03574572,2.03574572,0.480757556,5.145722046,3.590733883,3.590733883,3.590733883,3.007613322,20.47312398,0,0
43,8.252959194,0,2.032820834,3.587855424,25.35833968,0,5.142890014,0.477786244,5.606581424,20.55166514,0,0
44,7.731617536,4.603875757,3.040004868,0,17.11484287,1.476133979,3.040004868,3.040004868,5.005810593,20.55026044,0,0
45,4.339247029,2.771037964,1.202828899,12.18029235,24.72596488,1.202828899,10.61208329,13.74850142,8.847848091,20.54950719,0,0
46,3.790762561,0,2.213561947,2.213561947,16.40836747,2.213561947,2.213561947,2.213561947,3.908367471,20.66345092,0,0
47,2.135321536,0.581913941,5.242136725,3.688729131,2.135321536,0.581913941,2.135321536,0.581913941,2.135321536,20.67385385,0,0
48,2.184771141,0,0,0,0,0.632148461,0,0.632148461,0.431133508,20.6505643,0,0
49,4.800815589,0.118888487,1.679530854,1.679530854,0.118888487,1.679530854,0.118888487,12.60402743,2.85001263,20.59091536,0,0
