Time,CPU 1,CPU 2,CPU 3,CPU 4,CPU 5,CPU 6,CPU 7,CPU 8,Overall CPU Utilization,RAM Usage,GPU Utilization,GPU Memory Utilization
1,20.67323924,27.0193801,55.57701397,11.15402795,27.0193801,12.74056316,11.15402795,23.84630967,23.64799277,20.43829144,0,0
2,85.89851503,59.26237677,62.39604009,71.79703007,52.99505012,67.09653508,70.23019841,67.09653508,67.09653508,20.4369071,0,0
3,86.1114705,55.24807161,70.67977105,66.05026122,64.50709127,59.87758144,62.96392133,76.85245083,67.78632741,20.42796994,0,0
4,17.36542051,6.451419449,14.24713449,9.569705467,1.773990421,14.24713449,11.12884848,9.569705467,10.54416985,20.4766052,0,0
5,2.699817663,2.699817663,8.977248782,5.838533222,18.39339546,4.269175443,2.699817663,4.269175443,6.230872667,20.4782542,0,0
6,13.70173008,0,4.287373364,2.718313911,4.287373364,2.718313911,4.287373364,1.149254458,4.143716557,20.44038832,0,0
7,0,1.09333624,10.5130185,4.233230328,1.09333624,12.08296555,2.663283284,0,3.959896268,20.43362946,0,0
8,4.520850693,0,2.955618737,2.955618737,9.21654656,6.086082649,2.955618737,0,3.586292014,20.43362946,0,0
9,7.341581036,2.708660088,4.252967071,4.252967071,10.430195,5.797274054,8.885888019,1.164353105,5.604235681,20.43362946,0,0
10,9.85311205,2.081828606,2.081828606,3.636085294,3.636085294,5.190341983,0,3.636085294,3.764420891,20.41968423,0,0
11,9.191858139,0,1.363570048,2.929227666,0,0,0,0,1.685581982,20.30563872,0,0
12,3.332845159,0.163430246,1.748137703,1.748137703,1.748137703,3.332845159,0.163430246,1.748137703,1.748137703,20.35398897,0,0
13,6.894430201,2.239151711,8.446189698,3.790911208,9.997949195,9.997949195,6.894430201,0.687392215,6.118550453,20.35380574,0,0
14,5.500381778,0,7.075375415,0,10.22536269,3.925388141,2.350394504,2.350394504,3.928412129,20.35380574,0,0
15,1.074939492,1.074939492,5.712051704,4.166347633,8.803459845,4.166347633,2.620643563,8.803459845,4.552773651,20.35569904,0,0
16,0.329967609,0,3.444656121,0.329967609,3.444656121,5.002000378,5.002000378,0.329967609,2.235401978,20.35563796,0,0
17,11.8052831,0.974352952,4.068904422,4.068904422,5.616180157,19.54166177,2.521628687,0.974352952,6.196408558,20.35563796,0,0
18,3.73587133,0,2.15777086,2.15777086,3.73587133,0,0,0,1.473410548,20.35563796,0,0
19,12.75189401,0.287878865,3.40388265,0.287878865,0.287878865,0.287878865,0.287878865,0.287878865,2.235381231,20.30728772,0,0
20,0.713891704,0.713891704,3.86583165,3.86583165,7.017771596,0.713891704,2.289861677,2.289861677,2.68385417,20.3540704,0,0
21,17.34593132,1.750824021,11.1078884,1.750824021,9.54837767,3.31033475,7.98886694,4.86984548,7.209111575,20.3540704,0,0
22,10.63600375,0,5.932635526,2.79705671,1.229267302,4.364846118,1.229267302,1.229267302,3.427293001,20.3540704,0,0
23,3.775238824,0.67121427,0.67121427,5.327251101,6.879263378,11.53530021,2.223226547,2.223226547,4.163241893,20.30572015,0,0
24,2.811157791,2.811157791,5.946281733,0,2.811157791,1.24359582,5.946281733,0,2.696204082,20.3540704,0,0
25,11.94139452,0,0,4.216955443,11.94139452,1.127179812,2.672067627,1.127179812,4.128271467,20.3540704,0,0
26,7.75082411,1.388811979,6.160321077,4.569818044,0,1.388811979,2.979315012,6.160321077,3.79977791,20.3540704,0,0
27,5.895974485,0,13.6094192,2.8105966,0,4.353285542,1.267907657,0,3.492147936,20.31023963,0,0
28,4.795136397,3.208388671,15.90237048,0,1.621640944,4.795136397,3.208388671,1.621640944,4.394087813,20.35952634,1,0
29,2.75039421,1.206749673,18.18683957,4.294038746,7.381327819,5.837683282,8.924972355,0,6.072750707,20.36241718,0,0
30,12.87328128,0.20030401,3.368548327,6.536792644,1.784426168,1.784426168,3.368548327,0.20030401,3.764578867,20.35321536,2,0
31,2.158413964,0.605372916,3.711455012,3.711455012,14.58274235,6.817537108,2.158413964,3.711455012,4.682105667,20.297068,0,0
32,12.67872918,4.882187139,6.441495547,0.204261917,9.560112362,6.441495547,1.763570324,3.322878732,5.661841344,20.43709032,0,0
33,63.00187585,12.12945515,15.21263217,13.67104366,13.67104366,18.29580918,19.83739768,16.75422067,21.57168475,20.79260207,0,0
34,52.73893857,13.35472071,19.65619556,18.08082685,33.83451399,10.20398328,24.38230171,13.35472071,23.20077517,22.84529915,0,0
35,49.5225948,29.01614893,51.10001371,51.10001371,32.17098676,46.36775697,49.5225948,27.43873002,42.02985496,21.98421685,0,0
36,25.36092471,14.47605957,23.80594398,3.59119442,6.701155891,12.92107883,45.57567427,0.48123295,16.61415808,22.31609296,0,0
37,26.03889234,5.581564687,10.30248645,0,62.23262587,13.44976763,5.581564687,0,15.39836271,23.31717722,0,0
38,37.89557414,2.185529271,13.0538038,22.36946768,23.92207832,13.0538038,6.843361211,8.395971857,15.96494876,23.72144638,0,0
39,84.31293412,5.877604743,9.015017918,1.17148498,10.58372451,34.11432332,19.99596403,1.17148498,20.78031733,23.76741474,0,0
40,39.45056737,9.95212583,36.34546826,44.10821603,34.7929187,16.16232405,30.13527004,20.81997271,28.97085787,25.22464035,0,0
41,71.81125679,12.30168781,15.43377038,9.169605228,1.339398782,92.16979355,9.169605228,0,26.42438972,24.75964328,0,0
42,41.94145369,16.83505528,0,2.712706178,49.78720319,41.94145369,43.51060359,2.712706178,24.93014772,24.76566925,0,0
43,61.09847064,34.64543067,17.52875775,12.86057423,0.412084834,53.31816477,17.52875775,8.192390706,25.69807892,24.73663874,0,0
44,65.78591568,6.688860949,22.24071746,2.023303997,28.46146006,30.01664571,58.00998743,8.2440466,27.68386724,24.7570171,0,0
45,43.25110343,35.36931223,57.43832757,10.14758042,16.45301338,51.13289462,82.66005938,11.72393866,38.52202871,24.77788405,0,0
46,23.11864226,65.48183938,15.27360575,2.721547345,26.25665686,71.75786858,18.41162035,8.997576549,29.00241963,24.6440302,0,0
47,33.6409791,19.75188171,7.406017355,30.55451302,19.75188171,61.4191739,35.18421215,8.949250399,27.08223867,24.83048912,0,0
48,62.17620563,8.592496929,22.77641982,22.77641982,3.864522632,65.32818849,18.04844552,14.89646266,27.30739519,24.83034661,0,0
49,84.3148128,0,10.59443296,0,32.55369504,65.49258816,4.320358078,1.183320638,24.80740096,24.83034661,0,0
50,56.19021717,0,15.50970454,24.89751515,2.992623734,56.19021717,38.97923106,10.81579924,25.69691351,25.00053949,0,0
51,84.53162962,7.189777748,8.736614786,2.549266636,4.096103673,87.6253037,10.28345182,1.002429598,25.7518222,25.00053949,0,0
52,90.54113105,6.987788625,14.87017942,11.7172231,0.68187599,70.04691498,19.5996139,0.68187599,26.89082538,25.00053949,0,0
53,93.82710318,2.776875163,36.72780765,8.949771978,19.7523414,69.13551592,15.12266879,4.320099367,31.32652293,25.15947439,0,0
54,76.22718926,19.17244348,19.17244348,20.75729753,11.24817323,58.79379472,1.739048937,6.493611086,26.70050022,25.15947439,36,20
55,81.37640763,3.778106105,27.05759656,3.778106105,9.985970227,72.06461145,14.64186832,0.674174044,26.66960506,25.33123483,15,13
56,93.79500914,0.720146275,6.925137133,3.822641704,6.925137133,70.52629343,28.64260514,3.822641704,26.89745146,25.33123483,15,13
57,71.50694668,14.52084005,14.52084005,5.023155608,22.43557708,69.92399928,17.68673486,0.274313388,26.98655087,25.53601595,15,12
58,86.00524441,9.811575108,0.481738051,2.036710894,12.92152079,70.45551598,11.36654795,9.811575108,25.36130354,25.70624954,15,13
59,85.96948256,6.463217097,3.345324333,8.022163478,1.786377951,98.44105362,1.786377951,0,25.72674962,25.73426215,15,13
60,70.21735935,23.19213728,35.7321965,20.05712248,20.05712248,63.94732974,23.19213728,2.814541051,32.40124327,25.94433634,15,13
61,68.62111437,4.294398814,7.432287377,9.001231659,10.57017594,30.9664516,29.39750732,10.57017594,21.35666788,26.23221881,15,13
62,67.59738978,4.335150776,10.50707653,2.792169337,19.76496517,24.39390948,15.13602085,1.249187898,18.22198373,26.23681972,15,13
63,33.79155129,57.43742583,13.29846002,6.992893475,5.416501839,3.840110203,3.840110203,6.992893475,16.45124329,26.24142063,15,13
64,45.69035393,17.75967881,20.86308716,5.346045424,48.79376228,0.690932903,14.65627046,3.79434125,19.69930903,26.24789447,15,13
65,40.43488603,5.949820041,5.949820041,15.35483804,38.86738303,4.382317041,2.814814042,2.814814042,14.57108654,26.25188464,15,12
66,29.43409076,10.61651497,43.54727261,2.775858385,18.45717155,5.912121018,5.912121018,2.775858385,14.92887609,26.25870457,15,13
67,32.55802795,0,9.031758632,15.30543045,9.031758632,5.894922722,2.758086813,48.2422075,15.35277409,26.23907946,15,13
68,59.85569989,7.359307445,33.60750367,7.359307445,15.07936516,1.183261275,2.727272817,5.815295902,16.6233767,26.22203981,15,13
69,31.38975906,12.67787517,17.35584614,1.762609564,12.67787517,20.47449346,22.03381711,12.67787517,16.38126886,26.8732515,15,13
70,27.61379414,11.87766243,59.08605756,2.435983402,16.59850194,4.009596573,4.009596573,0,15.70389908,26.87622377,15,13
71,42.46039309,14.4681519,12.91302739,14.4681519,26.90914798,2.027155808,20.68864994,2.027155808,16.99522923,27.46029478,15,13
72,4.137267086,2.565746874,0,2.565746874,87.42783831,0,4.137267086,11.99486814,14.1035918,27.4653232,15,13
73,7.182090037,2.462535293,0.889350379,33.92623359,10.32845987,4.035720208,60.67037713,4.035720208,15.44131084,27.68107728,15,13
