Time,gpuutil,gpumem,ram,cpu,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8
1,0,0,21.22270552,21.45280007,10.01012157,23.97406822,28.6287171,48.79886227,23.97406822,8.458571937,17.76786971,10.01012157
2,0,0,21.10454769,9.801470746,15.23796809,15.23796809,23.08630437,21.51663712,1.110962767,0,1.110962767,1.110962767
3,0,0,21.42614301,19.70599117,14.66337226,17.76652236,30.17912276,36.38542296,19.31809741,5.353921965,20.86967246,13.11179721
4,0,0,21.83601061,12.63447844,20.77722586,12.85494845,3.348215553,9.686037484,27.11504779,17.6083149,9.686037484,1
5,0,0,21.87583086,6.374409119,2.880527781,12.13000133,15.21315917,0,1.338948857,1.338948857,9.046843478,9.046843478
6,0,0,21.97833339,8.189001211,15.25138573,19.95964208,1.12661669,21.52906086,1.12661669,4.265454255,1.12661669,1.12661669
7,0,0,22.50988076,14.20089396,1.721023988,9.520942719,7.960958973,1.721023988,26.68076393,29.80073142,17.32086145,18.8808452
8,0,0,23.33214035,21.81229385,11.08829425,20.44742117,40.7255295,9.528439766,18.88756669,22.00727566,25.12698463,26.68683912
9,0,0,23.76240667,43.26494877,40.73039321,48.52902569,56.32765816,36.05121373,37.61094023,45.4095727,43.8498462,37.61094023
10,0,0,23.86144834,98.81102963,96.82941234,100,98.41470617,100,96.82941234,100,98.41470617,100
11,0,0,23.52041113,25.28592604,21.6366525,27.7827974,18.56358005,13.95397137,29.31933363,26.24626118,32.39240608,32.39240608
12,0,0,24.05407573,15.48449291,8.589288369,18.04556888,7.013241617,32.22998965,16.46952213,14.89347538,24.34975589,2.28510136
13,0,0,24.13153792,14.48086589,6.034358249,0,2.90217019,1.336076161,24.8274866,13.86482839,12.29873437,54.58327315
14,0,0,23.88266138,15.68552093,20.36965866,18.80827942,14.12414169,6.317245481,11.00138321,21.9310379,1.633107755,31.29931335
15,0,0,23.90833281,14.60938982,22.0177076,59.44920795,17.33877005,7.980894962,3.301957418,4.861603266,0.182665722,1.74231157
16,0,0,23.90819031,13.63767178,21.21351656,21.21351656,2.304760539,10.18340888,1,14.91059789,18.06205723,21.21351656
17,0,0,23.90816995,14.5499081,2.342752113,0.792637068,14.74367248,19.39401762,14.74367248,30.24482294,14.74367248,19.39401762
18,0,0,23.90802744,12.63154907,13.31021471,19.61492637,19.61492637,1,18.03874846,0.700791398,19.61492637,10.15785888
19,0,0,23.90802744,15.11969272,13.5764144,13.5764144,12.03313609,12.03313609,1.230187887,35.1823108,25.92264092,7.403301144
20,0,0,23.90802744,12.85195243,10.18599025,1,8.610305873,22.79146531,19.64009654,13.33735902,19.64009654,8.610305873
21,0,0,23.90424086,17.63192222,19.98529587,5.865053965,21.55421164,13.7096328,30.96770624,24.69204317,4.296138198,19.98529587
22,0,0,23.90424086,13.76377928,12.02747953,10.48410198,2.767214216,24.37449995,27.46125505,7.397346872,13.57085708,12.02747953
23,0,0,23.90259186,13.44430528,25.94430528,8.612121406,30.67126451,19.64169296,0.73385601,11.76342756,10.18777449,1
24,0,0,23.95236717,15.89584971,32.55984219,1.192326934,48.24359982,29.42309067,5.897454222,4.32907846,2.760702697,2.760702697
25,0,0,23.90259186,15.64895894,8.893154734,13.52570619,25.87917673,28.96754437,22.7908091,2.716419462,10.43733855,11.98152237
26,0,0,23.91305587,21.03114791,21.22807771,10.20000859,11.77544704,22.80351616,24.3789546,35.40702372,24.3789546,18.07720082
27,0,0,23.91305587,14.31555343,13.72733068,23.13889461,13.72733068,24.70748859,1.178578779,2.747172766,13.72733068,21.57030062
28,0,0,23.90745742,13.21295068,18.18776906,1,19.73139606,33.62403905,7.382380068,16.64414206,4.295126071,5.838753069
29,0,0,23.90745742,13.68495563,10.13776203,0.678579082,2.255109573,27.47959743,2.255109573,24.32653644,29.05612792,13.29082301
30,0,0,23.90745742,12.98975699,16.9091373,9.070376669,2.799368163,10.6381288,4.36712029,9.070376669,4.36712029,46.6964277
31,0,0,23.90753885,16.06508293,1.207637835,33.62388167,35.16751233,15.10031376,16.64394442,2.751268494,21.2748364,2.751268494
32,0,0,23.90293794,12.26642697,2.211568036,13.25219745,14.82943022,19.56112855,3.788800809,27.44729241,8.52049913,8.52049913
33,0,0,23.91012432,13.57132486,24.74237811,18.47090962,32.58171372,10.631574,1.224371268,12.19944113,5.927972636,2.79223839
34,0,0,23.90931,13.60422907,45.83556058,1,28.81245104,21.07467398,8.694230684,0.956453623,2.504009035,0.956453623
