Time,gpuutil,gpumem,ram,cpu,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8
63,0,0,20.44908118,1.261904089,3.785586084,0.631015136,0,0,0.631015136,0.631015136,2.20830061,2.20830061
64,0,0,20.44600712,1.757463862,6.248593729,0,0,0,0,0,7.811117167,1
65,0,0,20.35372431,0.782706832,0.002959912,0,0.002959912,0,0,1.565413664,4.690321166,1
66,0,0,20.35008023,0.074724121,0.074724121,0.074724121,0.074724121,0.074724121,0.074724121,0.074724121,0.074724121,0.074724121
67,0,0,20.35386682,1.123443624,0.148329656,1.708512005,0.148329656,1.708512005,0.148329656,0.148329656,3.268694355,1.708512005
68,0,0,20.3516478,0.548571448,2.194285792,0,0,0,0,0,2.194285792,1
69,0,0,20.35671694,2.898649887,2.702485543,1.133170794,10.54905929,2.702485543,1.133170794,2.702485543,1.133170794,1.133170794
70,0,0,20.39606895,1.992661161,0.040323733,0.040323733,10.97341333,0.040323733,4.725933558,0.040323733,0.040323733,0.040323733
71,0,0,20.36467692,2.933315758,2.623032552,0,4.168698702,0,8.805697152,4.168698702,1.077366403,2.623032552
72,0,0,20.3611957,1.813047936,2.154371364,0.576216063,3.732526665,0,5.310681965,0,2.154371364,0.576216063
73,0,0,20.3611957,0.849327843,1.358924548,1.358924548,0,1.358924548,1.358924548,1.358924548,0,1
74,0,0,20.31488125,0.151392207,0,0,0,0,0,0,1.211137653,1
75,0,0,20.33411956,6.808505411,5.300935445,0.565982217,14.7708419,17.92747739,2.14429996,0.565982217,13.19252416,1
76,0,0,20.75703664,22.67720084,27.31656879,18.0378329,24.22365683,24.22365683,19.58428888,16.49137691,47.42049657,4.119729047
77,0,0,20.65392337,16.16749,22.91263448,10.578656,13.66215062,24.45438179,29.07962372,10.578656,5.95341407,12.12040331
78,0,0,20.97097886,22.20247387,15.63644225,4.494085561,64.98116471,31.55409465,18.81997273,2.90232032,18.81997273,20.41173797
79,0,0,21.48972104,14.94310617,5.927859362,1.22425233,23.17441848,5.927859362,29.44589452,4.359990351,40.4209776,9.063597383
80,0,0,21.42915599,4.618719589,2.447780297,0.923526864,0,5.496287163,13.11755433,5.496287163,5.496287163,3.97203373
81,0,0,21.63100556,8.797841284,2.690802853,0,0,2.690802853,4.286035593,9.071733813,23.42882847,28.21452669
82,0,0,22.07470816,14.29936722,16.04835973,0.501759676,11.38437971,8.275059701,33.14961978,0.501759676,2.056419681,42.47757981
